dish_name,image_url
무생채,http://blogfiles.naver.net/MjAyNDAxMTdfMjAg/MDAxNzA1NDUwNjg5OTA0.Y7UOHEs5qOdGPh8VkKfB5ingtrcs2MRVIH4lXNagbfgg.nPBjS59Das71mk5J83G0MbjCoEwiY3dGwVPe2KHfQ6Ug.JPEG.ppunwife/IMG_1604.jpg&type=f54_54
어묵볶음,http://blogfiles.naver.net/MjAyNDA0MjZfNDIg/MDAxNzE0MDU3MjY2MDAw.ruI5KlEV8_kf3HuCmyyaqYFC1NpOeOP7e0gq1Iw787kg.sx0YhAeuQuX2U_kLN8CiuZB_kI8vQiBMgKiCRVNphowg.JPEG/djqhr01.jpg&type=f54_54
진미채볶음,http://blogfiles.naver.net/MjAyMTAzMThfMjg3/MDAxNjE2MDQ0OTY4MjM4.wRZgO2PNYU1Wx2VAMNO89srwEsHV5EuAWPLjJqGrXg0g.xKvZlPCaSIrguUwSlU_4U4PbEHd737Q_eVeIDCBMy4Qg.JPEG.mokato2/DSC05781.JPG&type=f54_54
장조림,http://blogfiles.naver.net/MjAyNDA0MjNfMjQ0/MDAxNzEzODQ0ODQzNTM0.ItQ_9kB7_oZBsZ4oli2dj5h2ky89k7hqITrVtRiN4ecg.HU1XIrbod8F-sgxDl41i8EEtUEbFbLOCMwUviVaOezYg.JPEG/0_0.JPG&type=f54_54
깻잎장아찌,http://blogfiles.naver.net/MjAxOTAyMjBfMTUw/MDAxNTUwNjQzNzAzODEx.4vCvX2XJCjquYl37r70O-aFTGRE-HZcIa1omhO43nGQg.RmY54bOEfoKjJvd02SinIt9FN9OXy9Uvl2K6mBEeiVMg.JPEG.yji516/IMG_4442.JPG&type=f54_54
총각김치,https://postfiles.pstatic.net/MjAyNDA1MjRfMzcg/MDAxNzE2NTAzMzE3OTY1.-zsArjw8X08CPHTwENuhQgFih8QKRkMVO6MZtQ8Cq7kg.-MG-QzS2SDwq9vGIvaIcOa0x3QqYbaayEd_qFmOralMg.JPEG/SE%EF%BC%8D5311d463%EF%BC%8D3b28%EF%BC%8D4ffe%EF%BC%8Db5d1%EF%BC%8Dd2723f81ee6d.jpg?type=w966
깍두기,https://postfiles.pstatic.net/MjAyNDEwMDlfMTU5/MDAxNzI4NDU2MzkwOTYz.YS6w1uSlE7FIVvIcdLRzulfZetE3iDc_nE91miDHUxwg.a8eaw52ZxJ-I7PqqyOTgphnyx91GwAdH-ELpM3cu5SMg.JPEG/IMG_3460.jpg?type=w966
동치미,https://postfiles.pstatic.net/MjAyNDA0MTZfMTc5/MDAxNzEzMjE3MjIxNjE5.wgw_08JcbbgphKNSEkLQ-osDXG2vpTD1rnawfxsZ6e8g.fQadvdsV1snMDS_VusXuGEwM98bwtUxIfqwzSeRjtl8g.JPEG/%EB%85%B8%EC%9D%B8%EC%97%90%EA%B2%8C_%EC%95%BD%EA%B3%BC_%EA%B0%99%EC%9D%80_%EB%8F%99%EC%B9%98%EB%AF%B86.jpg?type=w773
열무김치,http://blogfiles.naver.net/20140712_139/ran5141_1405129055313zdxSQ_JPEG/2014-05-31_010.JPG&type=f54_54
애호박볶음,https://postfiles.pstatic.net/MjAyMzExMDJfNCAg/MDAxNjk4OTMzNDg1ODk4.fOZFV8_yqr3xTuaA-Pw23pP8EM05aYzkRRvW6x72vEgg.aNDpbi0EgGj-6w5WbSf380XvcpZ-Yr4qup_JzxVw3Msg.JPEG.sbmn0313/DSC07965.JPG?type=w966
감자조림,http://blogfiles.naver.net/MjAyNDAxMTdfNjAg/MDAxNzA1NDk4OTUzMTYw.OjGDq1Y7YP1ZeoeTyLdpinbyxb0vMWu18euIad8WWggg.yskWlWyYKtwpdZgpRktAFpbHyOQxdxhCF3mYGpIwcN4g.JPEG.jhj6972/1705416085045.jpg&type=f54_54
연근조림,http://blogfiles.naver.net/MjAxNzA0MjFfNjIg/MDAxNDkyNzYwNDI1MzE4.47Jjjcnk7rWfwhpJiej0t9Gu80hHZ1P6LkWlMv6ETrQg.fgDNLRTuZgT_xouo7Udzruxst1aQvfUSfsCMgk1esMMg.JPEG.farmtail0/farmrecipe_yeon002.jpg&type=f54_54
마늘쫑볶음,http://blogfiles.naver.net/MjAyMDA1MjdfMjkz/MDAxNTkwNTgwOTA1MTA4.IN5qsM7GcHRM-AX2cDJNoSjLSbcY0Y7k2_1Gv4DSqOAg.hVt7RQHwyA_mS6I9d9xK2Vz0jrtDnBC33Rpng9miQewg.JPEG.logo-gune/IMG_0136.JPG&type=f54_54
더덕무침,https://postfiles.pstatic.net/MjAyNDA5MDRfMjY4/MDAxNzI1NDYxMDE0NzYy.4zeiEHMu1TagDjucmyyVS0wUgEvdDRJRIPTNW8Igu6sg.QsPb_zSaQ2QFYGJmbRBGjwSYUya0fUAs0H6ojOiBHdUg.JPEG/%EB%8D%94%EB%8D%95%EB%AC%B4%EC%B9%A8__MG_0619.005.JPG?type=w966
우엉조림,http://blogfiles.naver.net/MjAyMTA4MTZfMTg2/MDAxNjI5MTEyMDgzMDE4.IC_mq85yiQrhlV8CQTxncuUNFuXXMOUdU-eqsmMNagUg.io40HDKqGdQ-z9S9qGEUL0yL38B4zszk1K_TMprRjvgg.JPEG.76boragom/20210816%A3%DF183246.jpg&type=f54_54
콩자반,http://blogfiles.naver.net/MjAyNDAxMTVfMTI0/MDAxNzA1MzI1MjUwODgz.o6zhHtVryLqXnQpu0bovU7CrBLnlbQAZkuQxyIGMY98g.dsSdKYizfY56WTv5skN2mR8OUiPClSE_nVacM5eW9IUg.JPEG.2min_love/IMG%A3%DF20240115%A3%DF221247%A3%DF788.jpg&type=f54_54
고사리무침,http://blogfiles.naver.net/MjAyMzEwMDFfMjM4/MDAxNjk2MTcxNzI2Njg0.tA5tzi95iax_AJLjlXtvvhvCm_mfRgM9gsSjxYeedi0g.XAOFj57UyfwtowTNcE_5LjfVnFSx5td6V9PwYO7oCHsg.JPEG.rsm84/IMG_5086.jpg&type=f54_54
동그랑땡,http://blogfiles.naver.net/20141127_48/ljk750_1417016838139avqix_JPEG/IMG_9093.JPG&type=f54_54
동태전,http://blogfiles.naver.net/MjAyMzAxMThfMjAy/MDAxNjczOTkyOTA4NTc1.T0ZA51G6KIE-KLLVmCwJa-WxSya_JSbcTHa2m1_equgg.CtmiVvNgmwPOVxCrwleRPxxyOUuceaAAsBRbJGUTgTMg.JPEG.gabchun246/20230117%A3%DF194739.jpg&type=f54_54
무말랭이무침,http://cafefiles.naver.net/MjAyMDAyMjFfNTgg/MDAxNTgyMjM3NjgwNjc4.7nCNKEl7sa5KmcXhrMJ6cpx1pQcA2ome2rf0oU4gWpUg.g8dM8lv_sUjyF4eETh_7TKZOOrK6AaKZpMf7NOK44WIg.JPEG/externalFile.jpg&type=f54_54
미나리무침,http://blogfiles.naver.net/20131014_176/kingmt2001_138171928703283Kto_JPEG/IMG_6993.JPG&type=f54_54
고추장아찌,http://blogfiles.naver.net/20160907_164/xxxlovexxxs2_1473209384375C71NH_JPEG/C360_2016-09-05-18-35-03-194.jpg&type=f54_54
마늘장아찌,http://blogfiles.naver.net/MjAxOTA1MjdfMTcy/MDAxNTU4OTY1NjIwNDIz.MODCO6MOoVcJAnpcLP7lsiKN22ZaX4mh2ge2Y0-W72wg.5XreES9MKcdEXoXRfIEkb65CUza1j82PzPUCAoh4bXog.JPEG.land5465/20190524_084549.jpg&type=f54_54
소세지야채볶음,http://blogfiles.naver.net/MjAxOTEyMjRfMjU5/MDAxNTc3MTgxMzgzNzg1.pxZnLzKRIWhhZ_qOxfjnfZjEVYwaPEl1yQ9A8B4-3jAg.A8EGEjqqTZSnHCSRo3yT42qNG-OWg_xdlVuYLEqjs-0g.JPEG.remiyo79/batch_IMG_0720.JPG&type=f54_54
코다리조림,http://blogfiles.naver.net/MjAxOTExMjZfNzEg/MDAxNTc0NzczMTI4MzA0.CASMCU2UATgeKuNnNnMVPt5d2QKg8pwyKlbbAAU5XbEg.5uwC0qcckNmW1j9zQBvnPI1Yf-pzBccCEXcQj2PCuw0g.JPEG.dew36/5.jpg&type=f54_54
고등어구이,http://blogfiles.naver.net/MjAyMjA0MDVfMzIg/MDAxNjQ5MTMxNzY4MjYw.DyRnLsINNX_ATpa42hdqAxyGWDL8IHZB23KFxhjsahkg.TfewOXwd3PpOiQrMSIrs4m-qTkiYdravQIKO5zEFZ6kg.JPEG.royal_gym2/eafe70f3fbb6b6cdfbc8f8a1283f0c011.jpg&type=f54_54
꽁치조림,http://blogfiles.naver.net/MjAyMTExMjNfMTQx/MDAxNjM3NjQ5NjY1NjQ5.J-XmhqN0BviLdQbcjSYRv6fmOxOJYoT8JE0A4H0ldosg.lHaPTM4FHRFUVVWAsvfOjDcbCvH-cyEkTb94k7z8sqcg.JPEG.foxxgomm/1637649650358.jpg&type=f54_54
북어국,http://blogfiles.naver.net/20121120_98/michozzz_13533727523496SEWa_JPEG/223_00004.jpg&type=f54_54
콩나물국,http://blogfiles.naver.net/MjAyMTAyMDNfMTk1/MDAxNjEyMzQ4MjUwNTc0.ERDWF4191Ru3h_zpSktACq591UbgJuvKEcGRI7E7rMcg.bKtcthX5OOncB75tkV5pBTfreFkgrUn06mLalN6rbMgg.JPEG.zumdry/IMG_0774.jpg&type=f54_54
소고기무국,http://blogfiles.naver.net/MjAyMDA0MjRfMTYw/MDAxNTg3NzA5MTg3OTY1.zqubwZQwNZSi7metXWRNXd7n0pbxHhApnvMTd7PsUH0g.KwrWULyXy-EunIGEFBy2S3QUaUYGn1mkNUyvkS-pcK4g.JPEG.birdna1110/IMG_0875.JPG&type=f54_54
계란말이,http://blogfiles.naver.net/MjAyMzA0MThfMTA4/MDAxNjgxNzg1OTExMDc1.CyDMfExlVHGunLT-9xYVM9lZtpabKtyxcBmoYwmUzR8g.aOnPQzWNUslriFshGjVjvbvDpPV9S535CvzD7rEtNoIg.PNG.nkh9475/bjw_31.png&type=f54_54
가지볶음,http://blogfiles.naver.net/MjAyMTA0MThfMjM5/MDAxNjE4NzE4MTk3MjEy.pMQrUbU2PP8KaD_GsgvDhoXnE5uNfqyMZGlyiVoEqPwg.v-gnqyOgCyuliXMdNc0h4XlQg0LvSDn1DYqLX0NacrIg.PNG.yh970808/%C0%CC%B9%CC%C1%F6_053.png&type=f54_54
매실장아찌,http://blogfiles.naver.net/20150612_78/jejhlove1_14340980275726CG9n_JPEG/IMG_4375.JPG&type=f54_54
감자조림,http://blogfiles.naver.net/MjAyNDAxMTdfNjAg/MDAxNzA1NDk4OTUzMTYw.OjGDq1Y7YP1ZeoeTyLdpinbyxb0vMWu18euIad8WWggg.yskWlWyYKtwpdZgpRktAFpbHyOQxdxhCF3mYGpIwcN4g.JPEG.jhj6972/1705416085045.jpg&type=f54_54
도토리묵무침,http://blogfiles.naver.net/MjAyNDA2MTZfNDcg/MDAxNzE4NTE3OTk3MDI0.SVfotAOqP6U51J6H9v03N9bDByE7v3AWtO5wkuf9Cs0g.OFns5teEKdFUNDvF4hGf8cTzLUjUi1t0sBfQ5FaLd2Ig.JPEG/%BC%F8%B5%D5%C0%DB%B0%A1_6557_%B5%B5%C5%E4%B8%AE%B9%AC%BF%E4%B8%AE_%B5%B5%C5%E4%B8%AE%B9%AC%B9%AB%C4%A7_%BE%E7%B3%E4_%B4%D9%C0%CC%BE%EE%C6%AE_%BF%E4%B8%AE_%B7%B9%BD%C3%C7%C7_%B5%B5%C5%E4%B8%AE%B9%AC%B9%AB%C4%A7%B8%B8%B5%E5%B4%C2%B9%FD.jpg&type=f54_54
숙주볶음,http://blogfiles.naver.net/20101102_61/kjiong_1288623677285sMJfW_JPEG/031.jpg&type=f54_54
어묵탕,https://ldb-phinf.pstatic.net/20240910_86/17258999526265aQIw_JPEG/1000019737.jpg&type=f54_54
청국장,http://blogfiles.naver.net/MjAxOTExMjlfMTA0/MDAxNTc1MDM0OTc3OTAw.WDw2bskc4vurxyTc7zfxr1t_EB6A8Xb6TXWCijPrSl0g.dwUm5s_lzsXofnzi0A9Pm72mRnUK89IG7oigJzK8wLEg.JPEG.lxx_yj__/20191129_200241.jpg&type=f54_54
닭볶음탕,http://blogfiles.naver.net/MjAyMzA3MTRfMjU5/MDAxNjg5MjgwNzI2NTg0.BQk9vBJSSAaBza3vdiYROSDh0OeFDJ9XBMckLqSa4eYg.jBBuJIxhf5zYuWd7_sww-2QcEwGoK5tD8WiGjQh4ueYg.JPEG.soonja3939/1689280725100.jpg&type=f54_54
감자전,http://blogfiles.naver.net/MjAyMzAzMjlfMjEz/MDAxNjgwMDU3OTY5NDA2.Cwb8y5yDjtdRXMvHKSuXzjWwfde_NNG5drGzUic6T4Qg.fFcMz0tqKzesZ2h6tm-YwKpvL3wW44yf4VBWHNAZyAQg.JPEG.bongs1021/2IMG_2878.JPG&type=f54_54
애호박전,http://blogfiles.naver.net/MjAyMjEyMzFfMjg0/MDAxNjcyNDk1NDk3NjE0.MRNwCmDcdX9qQZIqkLO4ZNnIQU9YajMQkZsk1jaQEGEg.Gy4QC38wP8lxQNQtWnPfY12i7RY95FtoLST2eyRwimcg.JPEG.jinni615/_MG_9483.jpg&type=f54_54
달래무침,https://postfiles.pstatic.net/MjAyNDAxMTdfMTEx/MDAxNzA1NDkxODgwNDEx.neUYCSQIB5JiEfwxDKmWHXZiiDkChD_O3wosw8hsJmQg.VIsJ_zvftC08id3reuaMv0U5mMb5t0LvcDQVO4pcrxsg.JPEG.magicpass82/1705491878903.jpg?type=w3840
미역줄기볶음,http://blogfiles.naver.net/MjAyMDA3MTdfNjAg/MDAxNTk0OTEyMTgwNzQz.m3dQ6dgHQHiSGSYpdQ_NfrOIZp3JVOewTj6pgQMQm08g.XpB3FkpE8jP6XG--xwpT5DSVDuZsshRBZhxdh5dOKNQg.JPEG.bsy615/20200715130952_IMG_9472.JPG&type=f54_54
겉절이,http://shop1.phinf.naver.net/20240404_279/1712208555054s7bAF_JPEG/113344443755803118_1150449226.jpg&type=f54_54
감자채볶음,http://blogfiles.naver.net/MjAyMjA4MDJfMjgz/MDAxNjU5MzkyNDY3ODEy.qpfzfa4UJKRVn-q414yJKkE5YzWDQ9w-kF3G7mLL_zQg.MRSEeEvI7IlmbFTFnoyKOWeGUFS3unfyCenCb11iFYgg.JPEG.1524sck/%B0%A8%C0%DA%BA%BA%C0%BD_%B8%B8%B5%E5%B4%C2_%B9%FD_%BE%C6%B1%E2_%B0%A8%C0%DA%C3%A4%BA%BA%C0%BD_%B7%B9%BD%C3%C7%C7_02.JPG&type=f54_54
두부조림,http://blogfiles.naver.net/20120927_10/aldudcldud_1348672914458Dm1Lr_JPEG/IMGP1723_copy.jpg&type=f54_54
